Timestamp,gender,What is your age group?,"How often do you plan and book leisure travel (vacations, weekend trips, etc.)?",How much do you spend on a typical trip?,What type of trips do you most enjoy? (Select up to 3),"How often do you use Social media platforms (Instagram, Facebook, TikTok) such as Facebook, Twitter, TikTok, Instagram, Youtube?","Which Social media platforms (Instagram, Facebook, TikTok) Platform do you use the most?","Have you ever come across a sponsored travel post or ad while browsing Social media platforms (Instagram, Facebook, TikTok)?",If Yes: Which platform do you recall seeing sponsored travel content on most often?,"When you see sponsored travel content, how likely are you to take the following actions?",Sponsored travel content helps me discover destinations or experiences I might not have considered otherwise?,Which sources do you typically use FIRST when starting to research a new travel destination?,Which type of travel content do you find most helpful when making booking decisions?,"When researching travel destinations or accommodations, how often do you notice that some content is labeled as 'sponsored,' 'ad,' or 'promoted'?","How much do you agree with this statement: 'I trust user-generated content (reviews, photos from other travelers) more than professionally produced travel content.'",How long does your typical travel planning process take from initial research to final booking?,On which device do you most often research and book travel?,"How often do you seek opinions from friends, family, or online communities before making a travel booking decision?",Which new travel content features would you find most helpful when planning a trip?,"Think about a recent travel booking you made. Describe how different types of content (photos, reviews, ads, recommendations) influenced your final decision. What made certain content more convincing or trustworthy to you?","Based on your experience with travel content and booking websites, what changes would make you more likely to trust and engage with travel recommendations or promotions? What frustrates you most about current travel content?",Name,Email
2025-02-16,Female,25-34,2-4 times per year,$1000-2500,"Visiting friends or family, Beach holidays, Wellness / relaxation retreats",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Friends and family recommendations,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_30,user2_30@example.com
2025-01-22,Male,25-34,2-4 times per year,$1000-2500,"Budget travel, Cultural / historical experiences, Wellness / relaxation retreats",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Friends and family recommendations,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User2_31,user2_31@example.com
2025-01-08,Male,25-34,2-4 times per year,$1000-2500,"Beach holidays, Cultural / historical experiences, Wellness / relaxation retreats",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Friends and family recommendations,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User2_32,user2_32@example.com
2025-01-12,Male,25-34,2-4 times per year,$1000-2500,"Adventure / outdoor activities, Budget travel, Wellness / relaxation retreats",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Friends and family recommendations,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User2_33,user2_33@example.com
2025-01-06,Female,25-34,2-4 times per year,$1000-2500,"Budget travel, Adventure / outdoor activities, Luxury travel",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Friends and family recommendations,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User2_34,user2_34@example.com
2025-05-20,Male,25-34,2-4 times per year,$1000-2500,"Beach holidays, Adventure / outdoor activities, Budget travel",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Friends and family recommendations,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User2_35,user2_35@example.com
2025-06-28,Male,25-34,2-4 times per year,$1000-2500,"City breaks, Luxury travel, Budget travel",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Friends and family recommendations,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User2_36,user2_36@example.com
2025-04-10,Female,25-34,2-4 times per year,$1000-2500,"Beach holidays, Adventure / outdoor activities, City breaks",Once a day,Instagram,Yes,Instagram,Save the post,Agree,"Search engines (Google, Bing)",High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User2_37,user2_37@example.com
2025-05-14,Male,25-34,2-4 times per year,$1000-2500,"Luxury travel, Adventure / outdoor activities, Budget travel",Once a day,Instagram,Yes,Instagram,Share,Agree,"Search engines (Google, Bing)",High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User2_38,user2_38@example.com
2025-03-26,Female,25-34,2-4 times per year,$1000-2500,"Beach holidays, Cultural / historical experiences, Wellness / relaxation retreats",Once a day,Instagram,Yes,Instagram,Share,Agree,"Search engines (Google, Bing)",High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User2_39,user2_39@example.com
2025-05-28,Male,25-34,2-4 times per year,$1000-2500,"Luxury travel, Budget travel, Adventure / outdoor activities",Once a day,Instagram,Yes,Instagram,Share,Agree,"Search engines (Google, Bing)",High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User2_40,user2_40@example.com
2025-01-16,Male,25-34,2-4 times per year,$1000-2500,"Visiting friends or family, Beach holidays, Cultural / historical experiences",Once a day,Instagram,Yes,Instagram,Share,Agree,"Search engines (Google, Bing)",High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User2_41,user2_41@example.com
2025-04-16,Female,25-34,2-4 times per year,$1000-2500,"City breaks, Luxury travel, Wellness / relaxation retreats",Once a day,Instagram,Yes,Instagram,Share,Agree,"Search engines (Google, Bing)",High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User2_42,user2_42@example.com
2025-01-15,Male,25-34,2-4 times per year,$1000-2500,"Budget travel, Adventure / outdoor activities, Cultural / historical experiences",Once a day,Instagram,Yes,Instagram,Share,Agree,"Search engines (Google, Bing)",High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,Curated lists of hidden gems and off-the-beaten-path ideas,Sample.,Sample.,User2_43,user2_43@example.com
2025-06-16,Male,25-34,2-4 times per year,$1000-2500,"Budget travel, City breaks, Luxury travel",Once a day,Instagram,Yes,Instagram,Share,Agree,"Search engines (Google, Bing)",High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_44,user2_44@example.com
2025-02-25,Female,25-34,2-4 times per year,$1000-2500,"City breaks, Luxury travel, Wellness / relaxation retreats",Once a day,Instagram,Yes,Instagram,Share,Agree,"Search engines (Google, Bing)",High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_45,user2_45@example.com
2025-06-22,Female,25-34,2-4 times per year,$1000-2500,"Cultural / historical experiences, Wellness / relaxation retreats, Visiting friends or family",Once a day,Instagram,Yes,Instagram,Share,Agree,"Search engines (Google, Bing)",High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_46,user2_46@example.com
2025-06-11,Male,25-34,2-4 times per year,$1000-2500,"Cultural / historical experiences, Visiting friends or family, Adventure / outdoor activities",Once a day,Instagram,Yes,Instagram,Share,Agree,"Search engines (Google, Bing)",High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_47,user2_47@example.com
2025-06-26,Female,25-34,2-4 times per year,$1000-2500,"Visiting friends or family, Beach holidays, Wellness / relaxation retreats",Once a day,Instagram,Yes,Instagram,Share,Agree,"Search engines (Google, Bing)",High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_48,user2_48@example.com
2025-01-01,Male,25-34,2-4 times per year,$1000-2500,"Adventure / outdoor activities, Cultural / historical experiences, City breaks",Once a day,Instagram,Yes,Instagram,Share,Agree,"Search engines (Google, Bing)",High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_49,user2_49@example.com
2025-01-12,Male,25-34,2-4 times per year,$1000-2500,"Adventure / outdoor activities, Visiting friends or family, Budget travel",Once a day,Instagram,Yes,Instagram,Share,Agree,"Search engines (Google, Bing)",High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_50,user2_50@example.com
2025-06-08,Female,25-34,2-4 times per year,$1000-2500,"Visiting friends or family, Adventure / outdoor activities, Cultural / historical experiences",Once a day,Instagram,Yes,Instagram,Save the post,Agree,"Search engines (Google, Bing)",High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_51,user2_51@example.com
2025-04-27,Female,25-34,2-4 times per year,$1000-2500,"Luxury travel, City breaks, Visiting friends or family",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Friends and family recommendations,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_52,user2_52@example.com
2025-04-29,Female,25-34,2-4 times per year,$1000-2500,"Cultural / historical experiences, Adventure / outdoor activities, Visiting friends or family",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Travel blogs and websites,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_53,user2_53@example.com
2025-03-01,Female,25-34,2-4 times per year,$1000-2500,"Adventure / outdoor activities, Visiting friends or family, Beach holidays",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Travel blogs and websites,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_54,user2_54@example.com
2025-01-31,Non-Binary,25-34,2-4 times per year,$1000-2500,"Budget travel, Beach holidays, Cultural / historical experiences",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Travel blogs and websites,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_55,user2_55@example.com
2025-02-09,Female,25-34,2-4 times per year,$1000-2500,"Cultural / historical experiences, Visiting friends or family, Adventure / outdoor activities",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Travel blogs and websites,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_56,user2_56@example.com
2025-02-26,Male,25-34,2-4 times per year,$1000-2500,"Visiting friends or family, Beach holidays, Cultural / historical experiences",Once a day,Instagram,Yes,Instagram,Share,Agree,Travel blogs and websites,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_57,user2_57@example.com
2025-01-08,Female,25-34,2-4 times per year,$1000-2500,"Cultural / historical experiences, Wellness / relaxation retreats, Adventure / outdoor activities",Once a day,Instagram,Yes,Instagram,Share,Agree,Travel blogs and websites,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_58,user2_58@example.com
2025-04-30,Male,25-34,2-4 times per year,$1000-2500,"City breaks, Visiting friends or family, Cultural / historical experiences",Once a day,Instagram,Yes,Instagram,Share,Agree,Travel blogs and websites,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_59,user2_59@example.com
2025-02-22,Male,25-34,2-4 times per year,$1000-2500,"Beach holidays, Wellness / relaxation retreats, Visiting friends or family",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Travel blogs and websites,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_60,user2_60@example.com
2025-05-03,Male,25-34,2-4 times per year,$1000-2500,"Luxury travel, City breaks, Visiting friends or family",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Travel blogs and websites,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_61,user2_61@example.com
2025-06-21,Male,25-34,2-4 times per year,$1000-2500,"Budget travel, Cultural / historical experiences, Visiting friends or family",Once a day,Instagram,Yes,Instagram,Ignore,Agree,Travel blogs and websites,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_62,user2_62@example.com
2025-06-23,Non-Binary,25-34,2-4 times per year,$1000-2500,"Wellness / relaxation retreats, Visiting friends or family, City breaks",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Travel blogs and websites,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_63,user2_63@example.com
2025-06-17,Female,25-34,2-4 times per year,$1000-2500,"Cultural / historical experiences, Wellness / relaxation retreats, City breaks",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Travel blogs and websites,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_64,user2_64@example.com
2025-04-29,Female,25-34,2-4 times per year,$1000-2500,"Wellness / relaxation retreats, City breaks, Adventure / outdoor activities",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Travel blogs and websites,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_65,user2_65@example.com
2025-04-01,Male,25-34,2-4 times per year,$1000-2500,"Visiting friends or family, Adventure / outdoor activities, Cultural / historical experiences",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Travel blogs and websites,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_66,user2_66@example.com
2025-03-24,Male,25-34,2-4 times per year,$1000-2500,"Wellness / relaxation retreats, City breaks, Beach holidays",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Travel blogs and websites,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_67,user2_67@example.com
2025-03-30,Male,25-34,2-4 times per year,$1000-2500,"Wellness / relaxation retreats, Budget travel, Adventure / outdoor activities",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Travel blogs and websites,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_68,user2_68@example.com
2025-02-22,Male,25-34,2-4 times per year,$1000-2500,"Beach holidays, Visiting friends or family, Adventure / outdoor activities",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Friends and family recommendations,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_69,user2_69@example.com
2025-05-22,Female,25-34,2-4 times per year,$1000-2500,"Adventure / outdoor activities, City breaks, Cultural / historical experiences",Once a day,Instagram,Yes,Instagram,Ignore,Agree,Friends and family recommendations,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_70,user2_70@example.com
2025-04-24,Female,25-34,2-4 times per year,$1000-2500,"City breaks, Budget travel, Luxury travel",Once a day,Instagram,Yes,Instagram,Save the post,Agree,"Travel review sites (TripAdvisor, Yelp)",High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_71,user2_71@example.com
2025-01-17,Female,25-34,2-4 times per year,$1000-2500,"Beach holidays, Adventure / outdoor activities, Cultural / historical experiences",Once a day,Instagram,Yes,Instagram,Save the post,Agree,"Travel review sites (TripAdvisor, Yelp)",High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_72,user2_72@example.com
2025-04-12,Male,25-34,2-4 times per year,$1000-2500,"Beach holidays, Budget travel, City breaks",Once a day,Instagram,Yes,Instagram,Save the post,Agree,"Travel review sites (TripAdvisor, Yelp)",High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_73,user2_73@example.com
2025-06-25,Female,25-34,2-4 times per year,$1000-2500,"Wellness / relaxation retreats, Luxury travel, Adventure / outdoor activities",Once a day,Instagram,Yes,Instagram,Save the post,Agree,"Travel review sites (TripAdvisor, Yelp)",High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_74,user2_74@example.com
2025-05-04,Female,25-34,2-4 times per year,$1000-2500,"City breaks, Cultural / historical experiences, Wellness / relaxation retreats",Once a day,Instagram,Yes,Instagram,Save the post,Agree,"Travel review sites (TripAdvisor, Yelp)",High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_75,user2_75@example.com
2025-03-06,Female,25-34,2-4 times per year,$1000-2500,"City breaks, Luxury travel, Budget travel",Once a day,Instagram,Yes,Instagram,Save the post,Agree,"Travel review sites (TripAdvisor, Yelp)",High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_76,user2_76@example.com
2025-05-12,Female,25-34,2-4 times per year,$1000-2500,"Cultural / historical experiences, Visiting friends or family, Budget travel",Once a day,Instagram,Yes,Instagram,Save the post,Agree,"Travel review sites (TripAdvisor, Yelp)",High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_77,user2_77@example.com
2025-03-02,Male,25-34,2-4 times per year,$1000-2500,"Budget travel, City breaks, Adventure / outdoor activities",Once a day,Instagram,Yes,Instagram,Save the post,Agree,"Travel review sites (TripAdvisor, Yelp)",High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_78,user2_78@example.com
2025-02-19,Male,25-34,2-4 times per year,$1000-2500,"Budget travel, Luxury travel, Visiting friends or family",Once a day,Instagram,Yes,Instagram,Save the post,Agree,"Travel review sites (TripAdvisor, Yelp)",High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_79,user2_79@example.com
2025-01-21,Male,25-34,2-4 times per year,$1000-2500,"Adventure / outdoor activities, Wellness / relaxation retreats, Beach holidays",Once a day,Instagram,Yes,Instagram,Save the post,Agree,"Travel review sites (TripAdvisor, Yelp)",High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_80,user2_80@example.com
2025-04-09,Female,25-34,2-4 times per year,$1000-2500,"Adventure / outdoor activities, Beach holidays, Visiting friends or family",Once a day,Instagram,Yes,Instagram,Save the post,Agree,"Travel review sites (TripAdvisor, Yelp)",High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_81,user2_81@example.com
2025-06-05,Male,25-34,2-4 times per year,$1000-2500,"City breaks, Visiting friends or family, Cultural / historical experiences",Once a day,Instagram,Yes,Instagram,Save the post,Agree,"Travel review sites (TripAdvisor, Yelp)",High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_82,user2_82@example.com
2025-03-28,Male,25-34,2-4 times per year,$1000-2500,"Budget travel, Luxury travel, Wellness / relaxation retreats",Once a day,Instagram,Yes,Instagram,Save the post,Agree,"Travel review sites (TripAdvisor, Yelp)",High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_83,user2_83@example.com
2025-03-20,Male,25-34,2-4 times per year,$1000-2500,"City breaks, Adventure / outdoor activities, Visiting friends or family",Once a day,Instagram,Yes,Instagram,Save the post,Agree,"Travel review sites (TripAdvisor, Yelp)",High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_84,user2_84@example.com
2025-04-09,Male,25-34,2-4 times per year,$1000-2500,"Wellness / relaxation retreats, Luxury travel, City breaks",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Friends and family recommendations,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_85,user2_85@example.com
2025-04-15,Female,25-34,2-4 times per year,$1000-2500,"Wellness / relaxation retreats, Beach holidays, Adventure / outdoor activities",Once a day,Instagram,Yes,Instagram,Ignore,Agree,Friends and family recommendations,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_86,user2_86@example.com
2025-06-14,Female,25-34,2-4 times per year,$1000-2500,"Beach holidays, Wellness / relaxation retreats, Luxury travel",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Friends and family recommendations,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_87,user2_87@example.com
2025-03-01,Male,25-34,2-4 times per year,$1000-2500,"Adventure / outdoor activities, Budget travel, Beach holidays",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Friends and family recommendations,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_88,user2_88@example.com
2025-04-13,Male,25-34,2-4 times per year,$1000-2500,"Luxury travel, Cultural / historical experiences, Budget travel",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Travel apps on my phone,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_89,user2_89@example.com
2025-02-06,Female,25-34,2-4 times per year,$1000-2500,"Cultural / historical experiences, Beach holidays, Adventure / outdoor activities",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Travel apps on my phone,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_90,user2_90@example.com
2025-05-04,Male,25-34,2-4 times per year,$1000-2500,"Cultural / historical experiences, Wellness / relaxation retreats, Adventure / outdoor activities",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Travel apps on my phone,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_91,user2_91@example.com
2025-02-18,Male,25-34,2-4 times per year,$1000-2500,"Cultural / historical experiences, Adventure / outdoor activities, Visiting friends or family",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Travel apps on my phone,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_92,user2_92@example.com
2025-04-09,Male,25-34,2-4 times per year,$1000-2500,"Wellness / relaxation retreats, City breaks, Budget travel",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Travel apps on my phone,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_93,user2_93@example.com
2025-02-28,Male,25-34,2-4 times per year,$1000-2500,"Luxury travel, Visiting friends or family, City breaks",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Travel apps on my phone,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_94,user2_94@example.com
2025-04-06,Female,25-34,2-4 times per year,$1000-2500,"Cultural / historical experiences, Visiting friends or family, Beach holidays",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Travel apps on my phone,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_95,user2_95@example.com
2025-04-02,Female,25-34,2-4 times per year,$1000-2500,"Beach holidays, Budget travel, Luxury travel",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Travel apps on my phone,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_96,user2_96@example.com
2025-01-26,Male,25-34,2-4 times per year,$1000-2500,"Adventure / outdoor activities, Cultural / historical experiences, City breaks",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Travel apps on my phone,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_97,user2_97@example.com
2025-01-15,Male,25-34,2-4 times per year,$1000-2500,"City breaks, Visiting friends or family, Beach holidays",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Travel apps on my phone,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_98,user2_98@example.com
2025-05-01,Female,25-34,2-4 times per year,$1000-2500,"Budget travel, Wellness / relaxation retreats, City breaks",Once a day,Instagram,Yes,Instagram,Ignore,Agree,Travel apps on my phone,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_99,user2_99@example.com
2025-01-27,Female,25-34,2-4 times per year,$1000-2500,"Adventure / outdoor activities, Visiting friends or family, Cultural / historical experiences",Once a day,Instagram,Yes,Instagram,Ignore,Agree,Travel apps on my phone,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_100,user2_100@example.com
2025-03-06,Female,25-34,2-4 times per year,$1000-2500,"Luxury travel, Budget travel, Adventure / outdoor activities",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Travel apps on my phone,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_101,user2_101@example.com
2025-01-27,Female,25-34,2-4 times per year,$1000-2500,"City breaks, Cultural / historical experiences, Adventure / outdoor activities",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Travel apps on my phone,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_102,user2_102@example.com
2025-01-24,Male,25-34,2-4 times per year,$1000-2500,"Luxury travel, Visiting friends or family, Cultural / historical experiences",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Travel apps on my phone,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_103,user2_103@example.com
2025-04-05,Male,25-34,2-4 times per year,$1000-2500,"Cultural / historical experiences, Beach holidays, Luxury travel",Once a day,Instagram,Yes,Instagram,Save the post,Agree,Travel apps on my phone,High-quality photos of destinations/hotels,Always notice,Agree,1-3 weeks,Smartphone,Often,AI itinerary suggestions,Sample.,Sample.,User2_104,user2_104@example.com
